seq
AAA
AAH
AAG
AAB
AAC
AAF
AAE
AAD
ADA
ADB
ADC
ADD
ADE
ADF
ADG
ADH
AEA
AEB
AEC
AED
AEE
AEF
AEG
AEH
AHE
AHH
AHA
AHD
AHC
AHB
AHG
AHF
AGE
AGH
AGA
AGD
AGC
AGB
AGG
AGF
AFG
AFH
AFE
AFF
AFC
AFD
AFA
AFB
ACG
ACH
ACE
ACF
ACC
ACD
ACA
ACB
ABC
ABF
ABE
ABD
ABA
ABH
ABG
ABB
BAA
BAB
BAC
BAD
BAE
BAF
BAG
BAH
BHA
BHD
BHE
BHH
BHG
BHF
BHC
BHB
BGA
BGD
BGE
BGH
BGG
BGF
BGC
BGB
BBG
BBB
BBA
BBH
BBE
BBD
BBC
BBF
BCG
BCB
BCA
BCH
BCE
BCD
BCC
BCF
BFC
BFB
BFG
BFF
BFE
BFH
BFA
BFD
BEC
BEB
BEG
BEF
BEE
BEH
BEA
BED
BDE
BDF
BDG
BDH
BDA
BDB
BDC
BDD
CAA
CAB
CAC
CAD
CAE
CAF
CAG
CAH
CHA
CHD
CHE
CHH
CHG
CHF
CHC
CHB
CGA
CGD
CGE
CGH
CGG
CGF
CGC
CGB
CBG
CBB
CBA
CBH
CBE
CBD
CBC
CBF
CCG
CCB
CCA
CCH
CCE
CCD
CCC
CCF
CFC
CFB
CFG
CFF
CFE
CFH
CFA
CFD
CEC
CEB
CEG
CEF
CEE
CEH
CEA
CED
CDE
CDF
CDG
CDH
CDA
CDB
CDC
CDD
DCC
DCB
DCG
DCF
DCE
DCH
DCA
DCD
DDC
DDF
DDE
DDD
DDA
DDH
DDG
DDB
DAC
DAF
DAE
DAD
DAA
DAH
DAG
DAB
DBA
DBB
DBC
DBD
DBE
DBF
DBG
DBH
DGA
DGB
DGC
DGD
DGE
DGF
DGG
DGH
DHG
DHB
DHA
DHH
DHE
DHD
DHC
DHF
DEG
DEB
DEA
DEH
DEE
DED
DEC
DEF
DFE
DFH
DFA
DFD
DFC
DFB
DFG
DFF
ECC
ECB
ECG
ECF
ECE
ECH
ECA
ECD
EDC
EDF
EDE
EDD
EDA
EDH
EDG
EDB
EAC
EAF
EAE
EAD
EAA
EAH
EAG
EAB
EBA
EBB
EBC
EBD
EBE
EBF
EBG
EBH
EGA
EGB
EGC
EGD
EGE
EGF
EGG
EGH
EHG
EHB
EHA
EHH
EHE
EHD
EHC
EHF
EEG
EEB
EEA
EEH
EEE
EED
EEC
EEF
EFE
EFH
EFA
EFD
EFC
EFB
EFG
EFF
FEE
FEF
FEG
FEH
FEA
FEB
FEC
FED
FDE
FDH
FDA
FDD
FDC
FDB
FDG
FDF
FCE
FCH
FCA
FCD
FCC
FCB
FCG
FCF
FFC
FFF
FFE
FFD
FFA
FFH
FFG
FFB
FGC
FGF
FGE
FGD
FGA
FGH
FGG
FGB
FBG
FBF
FBC
FBB
FBA
FBD
FBE
FBH
FAG
FAF
FAC
FAB
FAA
FAD
FAE
FAH
FHA
FHB
FHC
FHD
FHE
FHF
FHG
FHH
GEE
GEF
GEG
GEH
GEA
GEB
GEC
GED
GDE
GDH
GDA
GDD
GDC
GDB
GDG
GDF
GCE
GCH
GCA
GCD
GCC
GCB
GCG
GCF
GFC
GFF
GFE
GFD
GFA
GFH
GFG
GFB
GGC
GGF
GGE
GGD
GGA
GGH
GGG
GGB
GBG
GBF
GBC
GBB
GBA
GBD
GBE
GBH
GAG
GAF
GAC
GAB
GAA
GAD
GAE
GAH
GHA
GHB
GHC
GHD
GHE
GHF
GHG
GHH
HGG
HGB
HGA
HGH
HGE
HGD
HGC
HGF
HFG
HFH
HFE
HFF
HFC
HFD
HFA
HFB
HCG
HCH
HCE
HCF
HCC
HCD
HCA
HCB
HBC
HBB
HBG
HBF
HBE
HBH
HBA
HBD
HAC
HAB
HAG
HAF
HAE
HAH
HAA
HAD
HDA
HDB
HDC
HDD
HDE
HDF
HDG
HDH
HEA
HEB
HEC
HED
HEE
HEF
HEG
HEH
HHE
HHD
HHC
HHF
HHG
HHB
HHA
HHH
